Month,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected,Year,Datetime Event Began,Datetime of Restoration,Event Duration (hours)
January,Washington,System Operations,0,,2019,2019-01-05 13:19:00,2019-01-05 15:07:00,2
January,Washington,Severe Weather,230,230000,2019,2019-01-06 03:00:00,2019-01-09 07:00:00,76
January,California,Severe Weather,300,90382,2019,2019-01-06 17:56:00,2019-01-06 21:52:00,4
January,Washington,Severe Weather,,230000,2019,2019-01-06 01:00:00,2019-01-06 12:00:00,11
January,Michigan,System Operations,0,0,2019,2019-01-07 20:57:00,2019-01-07 21:32:00,1
January,New Mexico,Suspicious Activity,0,0,2019,2019-01-09 11:55:00,2019-01-09 11:56:00,0
January,Montana,System Operations,11,2,2019,2019-01-10 12:19:00,2019-01-10 12:48:00,0
January,Maine,System Operations,0,0,2019,2019-01-11 11:36:00,2019-01-11 12:43:00,1
January,Missouri,Severe Weather,,112530,2019,2019-01-12 11:30:00,2019-01-13 22:00:00,34
January,Missouri,Severe Weather,,116600,2019,2019-01-12 11:30:00,,
January,New Hampshire,System Operations,0,0,2019,2019-01-12 19:20:00,2019-01-12 21:38:00,2
January,North Carolina,Severe Weather,133200,,2019,2019-01-13 05:30:00,2019-01-15 17:00:00,60
January,Michigan,Actual Physical Attack,,,2019,2019-01-14 11:10:00,,
January,Pennsylvania,Vandalism,0,0,2019,2019-01-15 08:00:00,2019-01-15 08:02:00,0
January,California,Severe Weather,190,126700,2019,2019-01-16 17:26:00,2019-01-17 12:19:00,19
January,Texas,System Operations,0,0,2019,2019-01-16 05:19:00,2019-01-16 07:14:00,2
January,Nebraska,Transmission Interruption,8,,2019,2019-01-18 21:54:00,2019-01-19 00:19:00,2
January,Colorado,System Operations,0,0,2019,2019-01-23 07:26:00,2019-01-23 17:05:00,10
January,Ohio,System Operations,0,0,2019,2019-01-24 04:39:00,2019-01-24 05:16:00,1
January,Utah,Actual Physical Attack,0,0,2019,2019-01-28 13:35:00,2019-01-28 13:40:00,0
January,Louisiana,Transmission Interruption,,,2019,2019-01-29 18:34:00,2019-01-29 18:36:00,0
January,Washington,Vandalism,0,0,2019,2019-01-30 16:30:00,,
January,Illinois,Fuel Supply Deficiency,,,2019,2019-01-30 04:23:00,2019-02-02 09:00:00,77
January,Michigan,Severe Weather,,,2019,2019-01-30 09:30:00,2019-01-31 18:00:00,32
January,Illinois,Severe Weather,,,2019,2019-01-30 07:00:00,2019-01-30 08:08:00,1
